Classifier,Train_sizes,Train_scores,Validation_scores
MLP,3699,"[0.9718697252968819, 0.9713323495084687, 0.975596618616876, 0.967610509225104, 0.9778551054625891, 0.9732057943381017, 0.9741912194414295, 0.9733498489334326, 0.9748717509284357, 0.9762005507326398]","[0.6938119274961531, 0.7087307155222128, 0.7146592910386159, 0.6764449566074793, 0.6726122212462232, 0.7084704679778214, 0.778591409012175, 0.8110216528990414, 0.7185573638850363, 0.7412943451314952]"
MLP,4316,"[0.9724815821378962, 0.9652143918012365, 0.9623960170678096, 0.9683755663716888, 0.9677475293646556, 0.9590534024775381, 0.9731808663417054, 0.9704833092757009, 0.9763736073260019, 0.9630185196300965]","[0.7003477533707835, 0.6972772031702859, 0.7105796233582263, 0.6704341236196819, 0.7200265175882516, 0.7195682724090814, 0.7903077097570714, 0.8003623783215061, 0.7423929013708517, 0.7234550397076892]"
MLP,4932,"[0.9530677389458295, 0.9592028793296699, 0.9669075346412758, 0.962275671104811, 0.9555048684974973, 0.9686420385969614, 0.959178377567741, 0.9683096348209872, 0.9579644584639772, 0.9609722313252929]","[0.7420821772257156, 0.692864861686717, 0.7156480536433041, 0.7072682431006432, 0.7120137157646893, 0.7354194966562618, 0.7641110723561215, 0.7849252555598561, 0.7333047159906848, 0.7691379733077152]"
MLP,5549,"[0.9466121825955306, 0.9418210946513531, 0.9417385776476966, 0.9579258351873461, 0.958049061929834, 0.9478402234011316, 0.9451171054435156, 0.951656691109699, 0.951905045490523, 0.9462604359655926]","[0.6907094746285657, 0.7251613594712069, 0.7292331960019056, 0.7317724081620136, 0.7483553651609484, 0.7999810047297036, 0.830857127591545, 0.8052984392071108, 0.7791254309596448, 0.7658334635981348]"
RBF SVM,308,"[0.6770135162269413, 0.6357810529896413, 0.7032951879656841, 0.6972739284886881, 0.7301289573052117, 0.6804138174397717, 0.6425546048845923, 0.6656297214177168, 0.6570016150769613, 0.6947546719118063]","[0.4405360726892527, 0.49486337508725853, 0.5119907900488275, 0.5430944091207218, 0.5678113780283827, 0.541721704338551, 0.5377058670567211, 0.5408034728274926, 0.5475334692723167, 0.5491523034440782]"
RBF SVM,616,"[0.7578361901531365, 0.7538262937362155, 0.7682147767902823, 0.749272832418954, 0.7753472897472892, 0.7594497212973187, 0.744411624656049, 0.7594497212973187, 0.7393810338695223, 0.7618356084236623]","[0.5658874661972152, 0.5446130930821583, 0.6128507296805319, 0.6145015345693458, 0.6115454761598978, 0.5819845924169598, 0.6299856511735312, 0.6594554080296572, 0.6279757842096974, 0.6167157396119944]"
RBF SVM,1233,"[0.8347907859438723, 0.8395835296710079, 0.8346753655553748, 0.8319135158557378, 0.8248413868841867, 0.8268662532949294, 0.8231388541004429, 0.8321705051283482, 0.8304439267229686, 0.8263018703260268]","[0.592207002072509, 0.5564454912278676, 0.6076077927585192, 0.6128507296805319, 0.6167765945790415, 0.6437319705338431, 0.6511657250299793, 0.6531778100638846, 0.6195549327391299, 0.6167157396119944]"
RBF SVM,1849,"[0.7965379201354855, 0.8015769751943741, 0.804372306025674, 0.7913509546867686, 0.7959209884099213, 0.7985009333600624, 0.7982446165094262, 0.801600911792738, 0.8056024214550868, 0.8034815836424096]","[0.6055399338812899, 0.6426946618818373, 0.6249619900506204, 0.638191757477158, 0.6476875635798482, 0.6877814412006732, 0.6906362776091028, 0.6931704100733493, 0.6564879305793826, 0.6447657374789606]"
RBF SVM,2466,"[0.8081248749639184, 0.8161129738201913, 0.817515975250465, 0.8128598058889696, 0.8082199625603395, 0.8130539675724862, 0.8123554944193613, 0.8103982894826776, 0.8087892102903165, 0.811666631094258]","[0.6657770207567728, 0.6731596370822184, 0.6454971416339409, 0.6507774656190282, 0.6926076521804495, 0.7218409114963574, 0.7152356135517289, 0.7232871769358921, 0.6849525762769231, 0.6535787352484069]"
RBF SVM,3083,"[0.7922322339572213, 0.7798893586166636, 0.7860361050983383, 0.7856499044187232, 0.7822627784823692, 0.7844088539244207, 0.7891263748458711, 0.7891727229081207, 0.7840592886552514, 0.7889965867580094]","[0.6838711728370036, 0.7281700580362942, 0.6848200083232869, 0.6732689586815229, 0.7011973470412065, 0.7292039806172816, 0.7627819865820944, 0.7711843568489245, 0.7040996210461138, 0.7152706904044889]"
