sex,edyrs,usmarl,usdurl,usdocl,reltrip,paistrip,sport,social,age,minors,land,property,business,METROCAT,usunemp,inus,sons,daus,hrwage_adj_2019,pre_irca,irca,iirira,pais_pre_irca,pais_irca,pais_iirira
1.0,9.0,1.0,90.0,8.0,2.0,1.0,2.0,2.0,33.0,3.0,0.0,1.0,0.0,3.0,0.096,0.0,1.0,2.0,11.843323183569808,0.0,0.0,1.0,0.0,0.0,1.0
1.0,12.0,2.0,3.0,8.0,2.0,1.0,2.0,2.0,25.0,0.0,0.0,0.0,1.0,2.0,0.056,0.0,3.0,0.0,11.843323183569808,0.0,1.0,0.0,0.0,1.0,0.0
1.0,0.0,1.0,18.0,8.0,2.0,2.0,2.0,2.0,29.0,4.0,0.0,0.0,0.0,1.0,0.038,0.0,0.0,1.0,31.562592592592598,1.0,0.0,0.0,0.0,0.0,0.0
1.0,3.0,1.0,89.0,8.0,1.0,2.0,2.0,2.0,31.0,4.0,0.0,0.0,0.0,3.0,0.055,0.0,1.0,0.0,16.24078348332451,0.0,0.0,1.0,0.0,0.0,0.0
1.0,6.0,1.0,36.0,8.0,1.0,1.0,2.0,2.0,45.0,0.0,0.0,0.0,0.0,4.0,0.036,0.0,0.0,1.0,3.6732327586206894,1.0,0.0,0.0,0.0,0.0,0.0
1.0,12.0,1.0,8.0,3.0,1.0,2.0,2.0,2.0,25.0,1.0,0.0,1.0,0.0,4.0,0.062,0.0,1.0,0.0,11.843323183569808,0.0,0.0,1.0,0.0,0.0,0.0
1.0,2.0,1.0,7.0,8.0,1.0,1.0,2.0,2.0,49.0,3.0,0.0,1.0,0.0,1.0,0.04,0.0,1.0,2.0,11.843323183569808,0.0,0.0,1.0,0.0,0.0,0.0
1.0,4.0,1.0,18.0,8.0,1.0,2.0,2.0,2.0,35.0,3.0,0.0,1.0,0.0,4.0,0.058,0.0,2.0,1.0,11.843323183569808,0.0,0.0,1.0,0.0,0.0,0.0
1.0,12.0,1.0,6.0,8.0,1.0,1.0,2.0,2.0,33.0,1.0,0.0,1.0,1.0,2.0,0.047,0.0,0.0,1.0,18.76646527385658,0.0,0.0,1.0,0.0,0.0,0.0
2.0,9.0,2.0,12.0,4.0,2.0,1.0,2.0,1.0,20.0,0.0,0.0,0.0,0.0,3.0,0.042,0.0,0.0,2.0,11.843323183569808,0.0,0.0,1.0,0.0,0.0,1.0
