sex,edyrs,usmarl,usdurl,usdocl,reltrip,paistrip,sport,social,age,minors,land,property,business,METROCAT,usunemp,inus,sons,daus,hrwage_adj_2019,pre_irca,irca,iirira,pais_pre_irca,pais_irca,pais_iirira,target
1,0.0,1.0,36,8.0,1.0,1.0,2.0,2.0,38,5.0,0,1,0,2,0.056,0,1,4,10.06523622047244,0,1,0,0,1,0,0
1,4.0,2.0,14,8.0,1.0,1.0,1.0,2.0,21,0.0,0,0,0,2,0.072,0,2,0,8.791179368029741,1,0,0,1,0,0,1
1,7.0,2.0,10,8.0,2.0,1.0,1.0,2.0,24,0.0,0,0,0,2,0.053,0,1,1,10.30875,0,1,0,0,1,0,0
1,0.0,1.0,10,1.0,1.0,1.0,2.0,2.0,42,5.0,0,1,0,2,0.042,0,4,1,9.974612845138056,0,0,1,0,0,1,0
1,6.0,2.0,12,8.0,1.0,2.0,2.0,2.0,18,0.0,0,0,0,2,0.075,0,0,0,18.222166785459727,0,1,0,0,0,0,0
1,9.0,1.0,8,1.0,1.0,1.0,2.0,2.0,31,1.0,0,1,0,2,0.042,0,0,1,,0,0,1,0,0,1,0
1,6.0,2.0,11,8.0,1.0,2.0,1.0,1.0,27,1.0,0,0,0,2,0.071,0,2,1,13.961850728155339,1,0,0,0,0,0,1
1,6.0,1.0,19,8.0,2.0,2.0,2.0,1.0,28,2.0,0,1,0,2,0.045,0,0,2,10.979134969325154,0,0,1,0,0,0,0
1,6.0,1.0,6,8.0,1.0,1.0,2.0,2.0,25,1.0,0,1,0,2,0.072,0,1,1,8.315980483271376,1,0,0,1,0,0,1
1,6.0,1.0,6,1.0,2.0,1.0,2.0,2.0,28,1.0,0,2,0,2,0.042,0,1,0,11.509168667466987,0,0,1,0,0,1,1
1,6.0,1.0,6,1.0,1.0,1.0,2.0,2.0,33,2.0,0,2,0,2,0.042,1,2,0,12.276446578631454,0,0,1,0,0,1,0
1,6.0,2.0,4,8.0,2.0,1.0,2.0,1.0,20,0.0,0,0,0,2,0.055,0,0,2,15.127633136094676,0,1,0,0,1,0,1
1,6.0,1.0,6,1.0,,,2.0,1.0,32,2.0,0,1,0,2,0.04,1,1,1,26.723728222996517,0,0,1,0,0,0,1
1,5.0,1.0,6,1.0,,,2.0,2.0,35,3.0,0,2,0,2,0.04,0,1,0,11.877212543554009,0,0,1,0,0,0,1
1,3.0,1.0,30,1.0,,,2.0,2.0,34,4.0,0,2,0,2,0.045,1,2,3,13.723918711656443,0,0,1,0,0,0,1
1,3.0,1.0,42,1.0,,,2.0,2.0,30,3.0,0,1,0,2,0.049,1,1,3,20.707420560747664,0,0,1,0,0,0,1
1,4.0,1.0,66,1.0,,,1.0,1.0,34,4.0,0,2,0,2,0.056,1,1,3,33.5507874015748,0,1,0,0,0,0,1
1,6.0,1.0,42,1.0,,,2.0,2.0,32,3.0,0,1,0,2,0.049,0,0,0,13.539467289719626,0,0,1,0,0,0,1
1,11.0,1.0,6,1.0,,,1.0,2.0,31,3.0,0,6,0,2,0.04,0,0,0,9.279072299651569,0,0,1,0,0,0,1
1,4.0,1.0,42,1.0,,,2.0,1.0,41,3.0,0,1,0,2,0.049,1,3,0,11.78730093457944,0,0,1,0,0,0,1
1,3.0,1.0,6,1.0,,,2.0,2.0,53,3.0,1,2,0,2,0.04,0,0,0,11.134886759581882,0,0,1,0,0,0,1
1,12.0,1.0,6,4.0,,,1.0,2.0,29,0.0,0,2,1,2,0.04,1,0,0,14.846515679442511,0,0,1,0,0,0,1
1,4.0,1.0,6,1.0,,,2.0,2.0,30,2.0,0,3,0,2,0.04,0,0,0,13.361864111498258,0,0,1,0,0,0,1
1,8.0,1.0,6,1.0,,,2.0,1.0,33,3.0,0,2,0,2,0.04,0,0,0,11.506049651567945,0,0,1,0,0,0,1
1,3.0,1.0,18,1.0,,,2.0,1.0,48,2.0,1,2,0,2,0.042,1,3,1,16.88011404561825,0,0,1,0,0,0,1
1,3.0,1.0,18,1.0,,,2.0,1.0,52,0.0,0,1,0,2,0.042,1,0,0,13.811002400960385,0,0,1,0,0,0,1
1,12.0,1.0,10,8.0,1.0,1.0,2.0,2.0,33,2.0,0,1,0,2,0.069,1,1,2,,0,1,0,0,1,0,1
1,16.0,1.0,24,5.0,1.0,2.0,2.0,2.0,26,0.0,0,0,0,2,0.055,0,0,3,9.184634404057482,0,1,0,0,0,0,0
2,6.0,1.0,6,8.0,2.0,2.0,2.0,2.0,28,4.0,0,0,0,2,0.075,0,1,4,8.199975053456878,0,1,0,0,0,0,0
1,6.0,1.0,11,8.0,1.0,1.0,2.0,2.0,30,2.0,0,0,0,2,0.045,1,1,1,,0,0,1,0,0,1,1
1,6.0,1.0,12,8.0,1.0,2.0,2.0,2.0,22,0.0,0,0,0,2,0.049,0,5,2,,1,0,0,0,0,0,1
1,4.0,2.0,120,8.0,1.0,1.0,2.0,2.0,22,0.0,0,0,0,2,0.056,0,2,4,15.557221095334686,1,0,0,1,0,0,0
1,2.0,1.0,9,8.0,2.0,1.0,2.0,2.0,35,5.0,0,1,0,2,0.045,0,2,2,3.9211196319018407,0,0,1,0,0,1,1
1,12.0,1.0,9,8.0,1.0,1.0,2.0,1.0,30,3.0,0,1,0,2,0.054,0,2,1,17.92369024856597,0,1,0,0,1,0,0
1,6.0,1.0,4,8.0,1.0,1.0,2.0,1.0,38,3.0,0,1,0,2,0.061,0,0,0,6.9003238866396766,0,1,0,0,1,0,0
1,5.0,1.0,6,8.0,1.0,1.0,2.0,2.0,24,3.0,0,1,0,2,0.042,0,3,0,5.370945378151261,0,0,1,0,0,1,0
1,6.0,1.0,12,8.0,1.0,2.0,2.0,2.0,32,3.0,0,0,0,2,0.075,0,1,3,,0,1,0,0,0,0,1
1,4.0,1.0,6,8.0,2.0,1.0,2.0,2.0,32,3.0,0,0,0,2,0.036,0,0,0,14.692931034482761,1,0,0,1,0,0,0
1,10.0,2.0,72,8.0,2.0,2.0,1.0,1.0,19,0.0,0,0,0,2,0.068,0,1,0,8.44681718061674,0,1,0,0,0,0,1
1,12.0,1.0,6,8.0,1.0,1.0,2.0,1.0,21,1.0,0,0,0,2,0.072,0,2,1,19.245554832713754,1,0,0,1,0,0,0
1,6.0,1.0,2,5.0,2.0,2.0,2.0,2.0,34,2.0,0,1,0,2,0.056,0,1,1,14909.969921259843,0,1,0,0,0,0,1
1,8.0,1.0,36,1.0,1.0,2.0,2.0,2.0,20,2.0,0,1,1,2,0.054,0,2,0,9.776558317399617,0,1,0,0,0,0,1
1,3.0,1.0,24,8.0,2.0,2.0,2.0,2.0,30,2.0,1,0,0,2,0.07,1,2,1,13.995821167883213,1,0,0,0,0,0,0
1,6.0,1.0,36,8.0,1.0,2.0,2.0,2.0,34,3.0,0,1,0,2,0.056,1,2,1,9.780298393267024,0,1,0,0,0,0,1
1,3.0,1.0,6,8.0,1.0,1.0,2.0,2.0,20,1.0,0,1,0,2,0.049,0,0,1,4.778635514018692,0,0,1,0,0,1,1
1,6.0,1.0,5,8.0,1.0,1.0,2.0,2.0,23,1.0,0,0,0,2,0.061,0,1,1,11.385534412955467,0,1,0,0,1,0,0
1,8.0,1.0,3,8.0,2.0,2.0,2.0,2.0,28,2.0,0,1,0,2,0.045,0,2,1,9.410687116564418,0,0,1,0,0,0,0
1,12.0,2.0,2,8.0,1.0,1.0,2.0,2.0,17,0.0,0,0,0,2,0.056,0,1,2,,1,0,0,1,0,0,1
1,8.0,1.0,12,8.0,1.0,2.0,2.0,1.0,51,1.0,0,1,1,2,0.072,0,1,0,4.751988847583643,1,0,0,0,0,0,0
1,6.0,1.0,18,8.0,1.0,2.0,2.0,1.0,28,2.0,0,1,0,2,0.045,0,2,0,,0,0,1,0,0,0,1
