birth_cohort,legal_status,latest_us_occupation,education,labor_exp_age45,first_migration_age,total_trips,accumulated_us_experience,mean_proportion_low_income
33.0,1.0,0.0,6.0,31.0,22.0,1.0,72.0,0.1627564249131586
61.0,0.0,2.0,6.0,33.5,40.0,1.0,6.0,0.1523291898494421
32.0,0.0,0.0,3.0,35.166666666666664,26.0,2.0,2.0,0.0794116459041523
33.0,1.0,0.0,2.0,23.5,20.0,3.0,6.0,0.3040856578310011
34.0,0.0,0.0,0.0,36.0,48.0,1.0,8.0,0.2656433174291274
50.0,0.0,1.0,5.0,34.0,42.0,1.0,48.0,0.0530060722456658
47.0,0.0,0.0,0.0,36.16666666666666,43.0,2.0,8.0,0.1979049791452423
45.0,0.0,1.0,3.0,36.0,36.0,1.0,132.0,0.3126117748540345
52.0,0.0,1.0,17.0,21.0,33.0,1.0,12.0,0.0887631280098776
22.0,0.0,1.0,4.0,31.0,15.0,2.0,48.0,0.3979863843292437
25.0,1.0,0.0,6.0,32.0,17.0,4.0,36.0,0.1193470539611134
51.0,0.0,2.0,6.0,32.0,19.0,1.0,60.0,0.2224250167530135
28.0,0.0,0.0,0.0,30.0,33.0,2.0,156.0,0.2656433174291274
24.0,1.0,1.0,3.0,36.0,38.0,1.0,12.0,0.503388823580198
37.0,0.0,2.0,3.0,33.166666666666664,19.0,4.0,14.0,0.336834574023331
54.0,0.0,0.0,6.0,33.0,36.0,1.0,108.0,0.0782559075090117
48.0,0.0,1.0,9.0,34.0,13.0,3.0,180.0,0.1154865504287029
32.0,0.0,0.0,3.0,31.0,39.0,7.0,42.0,0.1570821719186325
6.0,0.0,2.0,2.0,29.5,30.0,13.0,68.0,0.336834574023331
51.0,0.0,0.0,2.0,32.5,19.0,3.0,18.0,0.1812808391388095
24.0,1.0,1.0,3.0,37.0,28.0,1.0,468.0,0.3228717411226657
23.0,1.0,0.0,1.0,33.0,30.0,2.0,24.0,0.1568111765647907
38.0,1.0,1.0,6.0,29.0,39.0,7.0,66.0,0.253412641520752
30.0,0.0,2.0,2.0,30.916666666666668,23.0,1.0,11.0,0.5624172290213145
50.0,0.0,1.0,6.0,22.0,32.0,1.0,144.0,0.0965366473426955
46.0,0.0,2.0,6.0,31.916666666666668,18.0,4.0,70.0,0.3605477354718323
44.0,0.0,0.0,1.0,31.916666666666668,20.0,2.0,11.0,0.2460560277702422
52.0,0.0,0.0,3.0,37.41666666666666,21.0,5.0,221.0,0.1136808120728266
22.0,0.0,1.0,3.0,30.0,57.0,1.0,300.0,0.1568111765647907
58.0,0.0,0.0,9.0,34.0,24.0,2.0,84.0,0.0782559075090117
36.0,1.0,1.0,9.0,31.0,20.0,2.0,252.0,0.5624172290213145
61.0,0.0,1.0,9.0,31.0,19.0,1.0,12.0,0.3261169775912217
50.0,0.0,0.0,6.0,31.0,17.0,1.0,84.0,0.2493494146303527
29.0,0.0,1.0,3.0,29.83333333333333,16.0,2.0,22.0,0.3228717411226657
40.0,1.0,1.0,8.0,31.0,40.0,2.0,36.0,0.3979863843292437
25.0,0.0,0.0,6.0,26.0,20.0,1.0,180.0,0.3979863843292437
46.0,0.0,2.0,6.0,34.0,30.0,3.0,84.0,0.0530060722456658
63.0,1.0,0.0,6.0,33.0,20.0,3.0,160.0,0.0965366473426955
50.0,1.0,1.0,17.0,25.25,20.0,2.0,15.0,0.3403960457849617
54.0,1.0,2.0,6.0,28.0,35.0,1.0,120.0,0.1589568182862857
51.0,0.0,1.0,8.0,28.0,38.0,1.0,120.0,0.1229021306305824
54.0,0.0,1.0,6.0,31.0,30.0,1.0,84.0,0.1193470539611134
29.0,0.0,2.0,0.0,34.0,49.0,1.0,12.0,0.1387416105495991
6.0,1.0,0.0,1.0,31.0,29.0,3.0,46.0,0.5624172290213145
61.0,0.0,2.0,1.0,34.0,20.0,2.0,36.0,0.1193470539611134
45.0,0.0,1.0,0.0,31.0,46.0,1.0,24.0,0.3061561957591827
22.0,0.0,0.0,5.0,28.0,30.0,2.0,12.0,0.268573165960706
19.0,0.0,0.0,2.0,29.416666666666668,33.0,6.0,47.0,0.4261479022907242
52.0,0.0,2.0,4.0,32.0,39.0,1.0,36.0,0.0462673582305475
33.0,0.0,2.0,5.0,34.0,26.0,1.0,36.0,0.0619939786519362
