sex,age,statebrn,placebrn,marstat,edyrs,occ,usyrl,usdurl,usdocl,usstatel,usplacel,usoccl,usbyl,ustrips,reltrip,paistrip,sport,social,chicanos,blacks,anglos,latinos,lodging,english,finhelp,bankacct,remit1,remit2,remit3,remit4,remit5,savings1,savings2,savings3,savings4,savings5,schools,unemp,foodst,welfare,doctor,hospital,uswagel_adj_2019,rent_adj_2019,food_adj_2019,remit_adj_2019,savings_adj_2019,savretrn_adj_2019
1.0,59.0,31.0,0.0,2.0,3.0,410.0,2002.0,72.0,8.0,138.0,6440.0,522.0,1.0,1.0,2.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,2.0,3.0,6.0,2.0,1.0,8888.0,8888.0,8888.0,8888.0,12.0,1.0,8888.0,8888.0,8888.0,2.0,2.0,2.0,2.0,2.0,2.0,12.681398809523811,507.2559523809524,507.2559523809524,253.6279761904762,,
1.0,30.0,15.0,0.0,3.0,9.0,410.0,2002.0,24.0,8.0,118.0,,410.0,,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,3.0,4.0,0.0,6.0,2.0,1.0,10.0,2.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,2.0,2.0,2.0,2.0,2.0,2.0,,277.8880434782609,555.7760869565218,277.8880434782609,,
1.0,24.0,29.0,0.0,2.0,9.0,20.0,2002.0,6.0,8.0,151.0,7777.0,526.0,1.0,2.0,,,1.0,2.0,1.0,0.0,1.0,2.0,,0.0,,2.0,1.0,15.0,8888.0,8888.0,8888.0,1.0,15.0,8888.0,8888.0,8888.0,2.0,2.0,2.0,2.0,1.0,2.0,13.035411089866155,,,488.8279158699809,,325.8852772466539
1.0,50.0,21.0,0.0,2.0,6.0,410.0,1997.0,216.0,8.0,105.0,4480.0,711.0,,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,8888.0,8888.0,8888.0,8888.0,3.0,8888.0,8888.0,8888.0,8888.0,2.0,2.0,2.0,2.0,2.0,2.0,10.429871083550914,,,1042.987108355091,,
1.0,33.0,11.0,0.0,2.0,7.0,810.0,1993.0,6.0,1.0,123.0,,810.0,1.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,3.0,6.0,2.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,2.0,2.0,2.0,2.0,1.0,1.0,18.54506735751296,132.46476683937823,132.46476683937823,529.8590673575129,0.0,7947.886010362694
1.0,28.0,21.0,0.0,3.0,9.0,525.0,2003.0,84.0,8.0,138.0,7777.0,721.0,,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,
1.0,25.0,2.0,0.0,3.0,9.0,526.0,1993.0,66.0,5.0,144.0,,,,3.0,1.0,2.0,1.0,1.0,3.0,0.0,0.0,3.0,4.0,2.0,4.0,2.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,2.0,2.0,2.0,2.0,2.0,2.0,10.979134969325154,313.68957055214725,470.5343558282209,470.5343558282209,470.5343558282209,784.2239263803681
1.0,50.0,22.0,4.0,2.0,2.0,410.0,2008.0,12.0,1.0,110.0,,410.0,3.0,10.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,2.0,4.0,3.0,6.0,1.0,8.0,8888.0,8888.0,8888.0,8888.0,8.0,8888.0,8888.0,8888.0,8888.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,
1.0,45.0,16.0,,2.0,4.0,50.0,1979.0,12.0,8.0,103.0,,410.0,1.0,5.0,,1.0,2.0,2.0,2.0,2.0,1.0,2.0,,0.0,1.0,2.0,,,,,,2.0,,,,,2.0,2.0,2.0,2.0,1.0,1.0,8.707663487738419,7453.759945504086,2786.452316076294,522.4598092643051,0.0,2089.8392370572205
1.0,38.0,31.0,0.0,2.0,9.0,215.0,1991.0,36.0,8.0,138.0,6440.0,520.0,1.0,1.0,2.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,3.0,6.0,2.0,1.0,8888.0,8888.0,8888.0,8888.0,9.0,12.0,8888.0,8888.0,8888.0,2.0,2.0,2.0,2.0,2.0,2.0,32.726190476190474,130.9047619047619,,,91.63333333333334,2094.4761904761904
1.0,67.0,32.0,0.0,2.0,2.0,410.0,1969.0,15.0,8.0,117.0,,419.0,1.0,9.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0,6.0,2.0,11.0,8888.0,8888.0,8888.0,8888.0,15.0,8888.0,8888.0,8888.0,8888.0,2.0,2.0,2.0,2.0,2.0,2.0,16.93092715231788,10158.556291390729,2539.639072847682,1269.819536423841,2328.002483443709,0.0
1.0,56.0,22.0,3.0,2.0,6.0,541.0,1986.0,9.0,8.0,144.0,7777.0,549.0,1.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,0.0,4.0,2.0,8.0,11.0,16.0,8888.0,8888.0,2.0,11.0,8888.0,8888.0,8888.0,2.0,2.0,2.0,2.0,1.0,2.0,9.780298393267024,0.0,273.8483550114767,782.423871461362,0.0,1564.847742922724
1.0,28.0,21.0,0.0,2.0,6.0,711.0,2011.0,36.0,8.0,133.0,5600.0,520.0,,1.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,4.0,2.0,4.0,2.0,,8888.0,8888.0,8888.0,8888.0,,8888.0,8888.0,8888.0,8888.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,
1.0,36.0,14.0,0.0,2.0,9.0,516.0,2001.0,156.0,1.0,105.0,7400.0,812.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,6.0,2.0,6.0,2.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,2.0,2.0,1.0,2.0,1.0,2.0,,,,,,
