birth_cohort,education,labor_exp_age45,first_migration_age,total_trips,legal_status,latest_us_occupation,accumulated_us_experience,mean_proportion_low_income,label
1963,7.0,23.0,18.0,7,WOD,Agrarian,204.0,0.17899777922911875,undetermined
1977,6.0,15.25,18.0,2,WD,Manual,36.0,0.17899777922911875,undetermined
1941,17.0,31.0,55.0,2,WOD,Other,2.0,0.2656433174291274,no_movement
1951,3.0,34.166666666666664,33.0,6,WD,Other,132.0,0.2656433174291274,upward
1962,12.0,24.5,24.0,3,WOD,Manual,48.0,0.2656433174291274,undetermined
1967,9.0,17.5,16.0,2,WOD,Other,120.0,0.2656433174291274,undetermined
1958,9.0,26.5,31.0,1,WD,Other,36.0,0.2656433174291274,undetermined
1965,9.0,18.5,15.0,2,WD,Other,24.0,0.2656433174291274,undetermined
1943,0.0,36.0,48.0,1,WD,Agrarian,8.0,0.2656433174291274,no_movement
1963,6.0,18.75,23.0,1,WD,Manual,8.0,0.2656433174291274,undetermined
1929,0.0,35.5,12.0,1,WD,Manual,6.0,0.2656433174291274,no_movement
1927,6.0,36.0,21.0,3,WOD,Other,590.0,0.2656433174291274,downward
1955,7.0,32.0,29.0,1,WD,Agrarian,6.0,0.2656433174291274,undetermined
1956,0.0,27.0,19.0,4,WD,Other,48.0,0.2656433174291274,undetermined
1972,9.0,16.0,18.0,1,WD,Other,36.0,0.2656433174291274,undetermined
1972,9.0,18.666666666666668,17.0,1,WD,Manual,20.0,0.2656433174291274,undetermined
1956,0.0,27.5,39.0,1,WD,Other,42.0,0.2656433174291274,undetermined
1959,9.0,30.0,37.0,1,WD,Manual,36.0,0.2656433174291274,undetermined
1961,6.0,24.0,17.0,3,WD,Other,48.0,0.2656433174291274,undetermined
1957,6.0,29.5,33.0,1,WD,Manual,6.0,0.2656433174291274,undetermined
1929,1.0,38.333333333333336,25.0,1,WOD,Agrarian,4.0,0.2656433174291274,downward
1960,9.0,21.5,28.0,2,WD,Manual,18.0,0.2656433174291274,undetermined
1953,3.0,34.75,18.0,2,WD,Manual,33.0,0.2656433174291274,upward
1942,0.0,32.25,48.0,2,WD,Other,29.0,0.2656433174291274,no_movement
1972,6.0,15.5,17.0,2,WD,Manual,30.0,0.2656433174291274,undetermined
