Classifier,Train_sizes,Train_scores,Validation_scores
Decision Tree,3461,"[0.7715803576767135, 0.7829980848967781, 0.776495044503975, 0.7750914688241226, 0.7750480356586759, 0.7832093491870366, 0.7793953094462437, 0.7802745435822785, 0.7668731520539883, 0.7758542278605713]","[0.6163980830124651, 0.6433696215743049, 0.637666290696288, 0.5775067300282192, 0.6714659073511744, 0.6640848846025891, 0.6111664949664247, 0.6325787614043177, 0.6152622247744455, 0.636955036258111]"
Decision Tree,4153,"[0.7825352832929768, 0.7962661226911604, 0.7942851545835974, 0.7763592109758474, 0.7940226475809813, 0.7835552799138328, 0.783909030198546, 0.7732600157502357, 0.7675351685225462, 0.7867759305344499]","[0.6550761424268657, 0.638769484421178, 0.662569891234014, 0.6391253003580458, 0.65968110498781, 0.642498557114394, 0.6336028652939744, 0.5469480333180247, 0.6293131454186277, 0.7131094915842443]"
Decision Tree,4846,"[0.7950688879484645, 0.7967562637939393, 0.7871612982665255, 0.7928001933474015, 0.7951927002884046, 0.7826708112562243, 0.7928295755264742, 0.7897759571768094, 0.7938935645030095, 0.7802221913008852]","[0.6447917774878962, 0.6654816396180364, 0.6673835721910857, 0.6775313526205261, 0.6665103225710474, 0.6709888751426719, 0.6364689224422575, 0.6746940163312661, 0.7017479497105286, 0.6653731737186882]"
Decision Tree,5538,"[0.7823392523728848, 0.7877017814358459, 0.7851054548486782, 0.8064479614372617, 0.7883166125913099, 0.7935881736076824, 0.7908184049510897, 0.7891664373689586, 0.7855035257740804, 0.7834195441055761]","[0.6742839984340177, 0.7045650392497078, 0.6636801608165581, 0.6614778714409623, 0.7103282178068046, 0.6479459123778695, 0.6537619876282484, 0.6703478593844763, 0.7038152184964525, 0.6962109375160707]"
Decision Tree,6230,"[0.7797625709485766, 0.7889000512731016, 0.7898112078639966, 0.7848827405108306, 0.7849843884433463, 0.7872987772566441, 0.7950151745881006, 0.784847171561083, 0.7881207627042703, 0.782189550735764]","[0.6749508483752273, 0.6932247826703004, 0.670494307222083, 0.6633088791030114, 0.6983845860658373, 0.6901420035941407, 0.665674584041811, 0.6121689325869547, 0.7385188500052573, 0.6991815839949095]"
Random Forest,346,"[0.4065384734697875, 0.42871304131653354, 0.4275397148586673, 0.4223679069595978, 0.4754219862058391, 0.39181222488823064, 0.46029501811498086, 0.43374822936668633, 0.3975774193951122, 0.35635349838267066]","[0.22667115207659919, 0.2856627898888915, 0.29508913531539127, 0.2960352897507934, 0.3579356280564978, 0.23018817970291294, 0.26793216070278014, 0.26077544437936095, 0.2381653206795075, 0.25764719830981714]"
Random Forest,692,"[0.5206204828994432, 0.5427534221094789, 0.5777345828188055, 0.5587100299137703, 0.5696000082490833, 0.5696005022738166, 0.5212674777217278, 0.5860228262148176, 0.5507071939784456, 0.525099228715853]","[0.46678653544221255, 0.4588695965365043, 0.5216132293323948, 0.4694992992738881, 0.45876910038223656, 0.44955245282913386, 0.43170224973516574, 0.44489407921697044, 0.4530140704174316, 0.47682929086204]"
Random Forest,1384,"[0.6065946985996995, 0.6029476667784752, 0.5944101634690797, 0.5820025833713446, 0.5867003646849402, 0.5872162635233412, 0.5848694407913503, 0.581216437636878, 0.5813221921302397, 0.5818411704137605]","[0.5491916165171823, 0.5711978101786727, 0.5665989750174752, 0.5161473897656461, 0.5049060067929434, 0.5188407913854775, 0.5017743954928282, 0.5017743954928282, 0.5381365751395788, 0.4977930112888751]"
Random Forest,2076,"[0.6139193469326312, 0.5987626659809258, 0.6154724121828216, 0.6059050964073084, 0.6089848332765622, 0.5970270671938331, 0.6028102325835575, 0.6057979245148487, 0.6098599991892408, 0.5875252353870536]","[0.5387108894406755, 0.5702873931680045, 0.5824396205056697, 0.5337315687726386, 0.535564325399351, 0.5209076607941665, 0.5230524465140753, 0.5314136971474183, 0.5479020696164938, 0.5429749761335446]"
Random Forest,2769,"[0.6222099949045126, 0.6187312687718404, 0.6050244280816266, 0.5964144689279619, 0.6246169531220106, 0.5993738936269353, 0.6092012949006317, 0.619680575346416, 0.6123185518696723, 0.5982002409416702]","[0.5469368804827625, 0.5702873931680045, 0.5693426047119031, 0.5372352306366057, 0.5503989298120576, 0.5468292708983794, 0.5386030916527974, 0.5540361262516909, 0.535564325399351, 0.563957306377518]"
Random Forest,3461,"[0.6379906001597497, 0.6269879593550104, 0.6311134644036618, 0.624713142291427, 0.6388892328086062, 0.6282245649744613, 0.6227890132055773, 0.6222129395984533, 0.6210255184019182, 0.6156419939620468]","[0.5761847806999796, 0.5901177755736908, 0.5851741692224698, 0.5532051676246051, 0.5771873804189717, 0.5621395393216865, 0.5272432400773743, 0.5710910282999515, 0.5612309165653941, 0.5709666828416109]"
Random Forest,4153,"[0.6406488607200397, 0.6098873278780497, 0.6196514319144225, 0.6280737026234253, 0.6236588733779667, 0.6160964902514581, 0.6179810042039924, 0.6216998904611911, 0.6207867712693047, 0.6101942801351985]","[0.5682156078071995, 0.5782635837920731, 0.5722079761074814, 0.5775447120244054, 0.5929007968204792, 0.5580961360607679, 0.5458646793720189, 0.5572553654425613, 0.5590352008204852, 0.5885356426327621]"
Random Forest,4846,"[0.628160346922002, 0.6187909463266202, 0.629877702314704, 0.6190011124486039, 0.6289615881460956, 0.6181273878759632, 0.6272735861130202, 0.6233021824248641, 0.6214805513119365, 0.6137182706974142]","[0.5722079761074814, 0.5582060036549991, 0.5861806127023546, 0.5659986836916953, 0.583007018681301, 0.5590352008204852, 0.5590352008204852, 0.5549837691017087, 0.5519781386124144, 0.6003118044541714]"
Random Forest,5538,"[0.628198810213218, 0.6207812496595737, 0.6195138900092869, 0.6148329022272626, 0.6248807782835439, 0.6137454166855401, 0.6164540605667325, 0.6287545917784678, 0.6153197591166994, 0.6176168385284087]","[0.5682156078071995, 0.5940411309754181, 0.5909837976978076, 0.5613805456384383, 0.6073777277435884, 0.5661667232870408, 0.5580961360607679, 0.5869495903224712, 0.5612309165653941, 0.5834217203906101]"
