sex,age,statebrn,placebrn,marstat,edyrs,occ,usyrl,usdurl,usdocl,usstatel,usplacel,usoccl,usbyl,ustrips,reltrip,paistrip,sport,social,chicanos,blacks,anglos,latinos,lodging,english,finhelp,bankacct,remit1,remit2,remit3,remit4,remit5,savings1,savings2,savings3,savings4,savings5,schools,unemp,foodst,welfare,doctor,hospital,uswagel_adj_2019,rent_adj_2019,food_adj_2019,remit_adj_2019,savings_adj_2019,savretrn_adj_2019,target
1,35.0,11,12,2,2,549,1978.0,126.0,1,129,6720,820,1,3.0,1,1,2,1,1,2,1,1,4,4,4,1,,,,,,,,,,,1,2,2,2,1,1,26.365303465765002,0.0,1080.5452240067625,0.0,0.0,3241.6356720202875,1
1,33.0,11,0,2,4,519,1988.0,6.0,1,105,7320,810,1,4.0,1,2,1,1,2,1,1,1,1,4,2,1,8888,8888,8888,8888,8888,15,8888,8888,8888,8888,1,2,2,2,1,1,9.724907016060863,756.3816568047337,432.218089602705,108.05452240067625,,,1
1,23.0,11,0,2,6,30,1988.0,6.0,8,105,4480,819,1,2.0,1,1,1,2,1,2,2,1,4,3,2,2,,,,,,,,,,,2,2,1,2,2,2,11.88599746407439,216.1090448013525,259.330853761623,0.0,0.0,648.3271344040576,1
1,23.0,11,0,2,6,549,1988.0,6.0,8,105,4480,549,1,7.0,1,1,1,2,2,2,2,1,4,0,2,2,8888,8888,8888,8888,8888,2,15,8888,8888,8888,2,2,2,2,2,2,20.898392370572207,278.6452316076294,4179.678474114441,0.0,0.0,0.0,1
1,60.0,11,0,2,2,549,1969.0,234.0,8,105,4480,549,1,1.0,1,1,2,2,2,2,2,1,4,1,6,1,8888,8888,8888,8888,8888,8888,8888,8888,8888,8888,1,1,2,2,1,1,10.805452240067625,713.1598478444632,129.6654268808115,0.0,0.0,756.3816568047337,1
1,27.0,11,0,2,14,810,1988.0,6.0,8,129,6720,549,1,1.0,1,1,2,2,2,2,2,1,1,3,1,2,8888,8888,8888,8888,8888,15,8888,8888,8888,8888,2,2,2,2,1,2,12.96654268808115,129.6654268808115,432.218089602705,864.43617920541,1080.5452240067625,0.0,1
1,33.0,11,0,2,6,549,1988.0,6.0,1,105,4480,549,1,10.0,1,1,1,2,1,1,1,1,6,3,6,2,2,11,8888,8888,8888,8888,8888,8888,8888,8888,2,2,2,2,2,2,12.318215553677094,615.9107776838547,605.105325443787,108.05452240067625,0.0,0.0,1
1,28.0,11,0,2,9,419,1988.0,12.0,1,105,680,549,1,6.0,2,2,2,2,2,2,2,2,4,3,2,1,11,16,8888,8888,8888,8888,8888,8888,8888,8888,1,2,2,2,1,1,36.70750844594594,0.0,2591.1182432432433,0.0,1727.412162162162,0.0,1
2,68.0,11,0,4,3,50,1960.0,342.0,1,114,1600,711,1,1.0,1,2,2,1,2,2,2,1,4,0,6,2,8888,8888,8888,8888,8888,8888,8888,8888,8888,8888,1,2,2,1,1,2,10.496865875912409,466.5273722627738,466.5273722627738,1166.3184306569344,1166.3184306569344,,1
1,24.0,11,0,2,12,549,1986.0,30.0,1,105,4480,549,1,1.0,1,2,1,2,1,1,1,1,4,3,4,2,8,11,8888,8888,8888,,,,,,2,2,2,2,2,2,,0.0,0.0,0.0,0.0,0.0,1
