Classifier,Train_sizes,Train_scores,Validation_scores
Decision Tree,2247,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.49859943977591037, 0.5518207282913166, 0.5266106442577031, 0.5462184873949579, 0.5434173669467787, 0.5602240896358543, 0.6050420168067226, 0.5898876404494382, 0.5084269662921348, 0.5674157303370787]"
Decision Tree,2568,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.5462184873949579, 0.5686274509803921, 0.5742296918767507, 0.5686274509803921, 0.5462184873949579, 0.5322128851540616, 0.5490196078431373, 0.5533707865168539, 0.5730337078651685, 0.5589887640449438]"
Decision Tree,2889,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.5630252100840336, 0.5994397759103641, 0.5938375350140056, 0.5826330532212886, 0.5938375350140056, 0.5938375350140056, 0.5574229691876751, 0.5926966292134831, 0.6123595505617978, 0.5786516853932584]"
Random Forest,160,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.3445378151260504, 0.33613445378151263, 0.35294117647058826, 0.34173669467787116, 0.33613445378151263, 0.3445378151260504, 0.34173669467787116, 0.3398876404494382, 0.3455056179775281, 0.3398876404494382]"
Random Forest,321,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.3641456582633053, 0.3697478991596639, 0.3697478991596639, 0.3585434173669468, 0.3557422969187675, 0.3641456582633053, 0.3697478991596639, 0.34269662921348315, 0.351123595505618, 0.3904494382022472]"
Random Forest,642,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.4173669467787115, 0.38375350140056025, 0.40336134453781514, 0.3949579831932773, 0.3697478991596639, 0.38375350140056025, 0.37254901960784315, 0.3848314606741573, 0.3960674157303371, 0.40730337078651685]"
Random Forest,963,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.4257703081232493, 0.42296918767507, 0.40896358543417366, 0.4341736694677871, 0.38095238095238093, 0.3949579831932773, 0.40336134453781514, 0.398876404494382, 0.39325842696629215, 0.41853932584269665]"
Random Forest,1284,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.4369747899159664, 0.44537815126050423, 0.4369747899159664, 0.42857142857142855, 0.4173669467787115, 0.39215686274509803, 0.4005602240896359, 0.3904494382022472, 0.38764044943820225, 0.4297752808988764]"
Random Forest,1605,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.45938375350140054, 0.453781512605042, 0.45098039215686275, 0.4341736694677871, 0.4257703081232493, 0.42857142857142855, 0.4061624649859944, 0.4157303370786517, 0.41292134831460675, 0.4691011235955056]"
Random Forest,1926,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.5966386554621849, 0.5910364145658263, 0.5938375350140056, 0.5854341736694678, 0.6022408963585434, 0.6050420168067226, 0.5910364145658263, 0.5926966292134831, 0.5926966292134831, 0.6207865168539326]"
Random Forest,2247,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.6246498599439776, 0.6246498599439776, 0.6274509803921569, 0.5966386554621849, 0.6582633053221288, 0.6218487394957983, 0.5910364145658263, 0.6264044943820225, 0.6123595505617978, 0.6376404494382022]"
Random Forest,2568,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.6218487394957983, 0.6358543417366946, 0.6386554621848739, 0.5882352941176471, 0.6610644257703081, 0.6442577030812325, 0.6050420168067226, 0.6207865168539326, 0.5955056179775281, 0.648876404494382]"
Random Forest,2889,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.7170868347338936, 0.7366946778711485, 0.7478991596638656, 0.7170868347338936, 0.7170868347338936, 0.7478991596638656, 0.7254901960784313, 0.702247191011236, 0.7331460674157303, 0.7584269662921348]"
